131l;kör;alak;kerek;gyűrű;négyzet;360
231s;vívás;kard;en garde!;tőr;párbaj;küzdelem
232l;szűrő;tészta;betét;levegő;lyuk;folyadék
232p;nyálkás;csiga;béka;hínár;ragacsos;csúszós
232k;szundít;szunyókál;szendereg;alszik;álmos;horkol
232s;Ausztrália;kenguru;dél;koala;Canberra;Sydney
233l;tüsszent;por;egészségedre;megfázás;hapci;orr
233p;ász;póker;kártya;király;lap;tenisz
233k;beken;rúzs;naptej;testápoló;töröl;krém
233s;Arsenal;futball;London;sport;ágyúsok;liga
234l;légzőpipa;úszik;búvár;vízben;levegő;száj
234p;izzó;fény;körte;csavar;üveg;villany
234k;horkol;alszik;orr;hang;éjszaka;zaj
234s;atlasz;térkép;könyv;hegység;világ;Föld
235l;bélyeg;posta;boríték;levél;nyal;pecsét
235p;lottó;játék;90;szerencse;számok;eltalál
235k;pók;nyolc;láb;rovar;háló;félelmetes
235s;híd;folyó;Budapest;víz;fölött;átível
236l;zsák;táska;hát;szemetes;liszt;krumpli
236p;partvis;takarít;seper;nyél;kosz;padló
236k;kengyel;láb;cowboy;nyereg;ló;fül
236s;tandem;kettő;kormány;kerékpár;pedál;bicikli
237l;pörkölt;magyaros;bogrács;birka;étel;főz
237p;ellenszer;méreg;kezel;gyógyít;marás;kígyó
237k;kém;elárul;titkos;James Bond;besúgó;CIA
237s;menyasszony;esküvő;vőlegény;házasság;fehér;fátyol
238l;szuvenír;emlék;turista;giccs;nyaralás;ajándék
238p;hadsereg;felderít;katona;szolgál;fegyveres;menetel
238k;gyomor;pocak;bél;emészt;test;has
238s;ENSZ;nagykövet;szervezet;New York;vétó;országok
239l;merev;szilárd;hulla;részeg;kemény;halott
239p;évforduló;dátum;házasság;férj;megemlékezés;ünnepel
239k;függőágy;szabad;fekszik;alszik;ringat;fa
239s;lakás;garzon;emelet;lakik;albérlet;ház
240l;történet;mese;elmond;kitalált;olvas;könyv
240p;veszekedés;verekedés;viszály;egyetértés;civakodás;kiabál
240k;kőkor;ősember;Frédi és Béni;történelem;idő;dinoszaurusz
240s;színész;játszik;sztár;előadás;művész;film
241l;hülye;buta;okos;bolond;normális;gyengeelmélyű
241p;horgony;hajó;ereszt;vas;kiköt;macska
241k;bársony;puha;szék;sima;kék;szövet
241s;antik;régi;ősi;gyűjt;értékes;ószeres
242l;kényszerzubbony;kabát;karok;pánt;őrült;bolond
242p;pajkos;csintalan;gyermek;rakoncátlan;rossz;jó
242k;napos;fény;meleg;nyár;felső;időjárás
242s;baleset;ütközés;kanyar;autó;hiba;fék
243l;szörf;óceán;deszka;strand;hullám;szél
243p;vágódeszka;szeletel;kés;előkészít;étel;fa
243k;szalma;krumpli;széna;gabona;bála;száraz
243s;pince;bor;alagsor;ház;lépcső;tárol
244l;Claude Monet;festő;művész;francia;piknik;szín
244p;sípcsontvédő;futball;zokni;láb;óv;szerelés
244k;bújócska;játék;gyermek;keres;számol;megtalál
244s;díj;kitüntetés;trófea;nyer;Kossuth;Nobel
245l;keménykalap;hord;fej;város;fekete;üzlet
245p;csempész;vám;határ;rejt;törvény;kábítószer
245k;bortartó;palack;fa;állvány;fektet;pince
245s;símaszk;horgol;bűnöző;betörő;fej;visel
246l;tulipán;virág;Hollandia;hagyma;tavasz;növény
246p;pantomim;színpad;játszik;mutogat;beszél;gyerekek
246k;vákuum;szív;nyomás;alacsony;anyag;üres
246s;karnevál;zene;Rio De Janeiro;virág;Debrecen;ünnep
247l;kaktusz;nő;tüske;sivatag;növény;szúrós
247p;Grand Canyon;Arizona;Amerika;Colorado;szakadék;képződmény
247k;Budavári Palota;király;hegy;Pest;török;Duna
247s;Santa Maria;hajó;Kolumbusz;zátony;Amerika;felfedez
248l;buszmegálló;közlekedés;felszáll;vár;pad;utazás
248p;Tarzan;dzsungel;lendül;ágyékkötő;csimpánz;Jane
248k;portré;kép;ecset;művész;fej;festmény
248s;Kleopátra;királynő;Egyiptom;Caesar;kígyó;Antoniusz
249l;vak;lát;világtalan;fehér;kutya;bot
249p;friss levegő;lélegzet;tiszta;harap;hely;szennyezés
249k;mentőautó;sziréna;kórház;vészhelyzet;jármű;baleset
249s;üst;forral;víz;főz;edény;lekvár
250l;ujjatlan kesztyű;kéz;meleg;hideg;vég;körmök
250p;tölgy;kocsány;makk;erdő;törzs;
250k;dezodor;szag;golyós;hónalj;befúj;izzad
250s;nyugágy;strand;pihen;tengerpart;napsütés;összecsuk
251l;betörő;rabló;lop;ház;riasztó;maszk
251p;irányjelző tábla;mutat;merre;nevek;hely;út
251k;traktor;farm;szántóföld;piros;kerék;sár
251s;kapu;kert;nyit;zár;kerítés;gól
252l;hegy;magas;domb;Mátra;Bükk;Vég
252p;bánya;ás;föld;akna;szén;gyémánt
252k;szaloncukor;karácsonyfa;díszít;csokoládé;zselé;papír
252s;basszus;mély;férfi;zene;dob;gitár
253l;Brazília;kávé;ország;Amazonas;foci;Rio
253p;övtáska;hord;derék;tart;csat;turista
253k;fülbevaló;ékszer;karika;lóg;lyukaszt;klipsz
253s;máj;hagyma;resztelt;iszok;szerv;méregteleít
254l;édenkert;nyaralás;tökéletes;lakatlan sziget;boldogság;madár
254p;puzzle;kivág;kép;darabok;kirak;illeszt
254k;mézeskalács;szív;süt;Jancsi;Juliska;ház
254s;kulcskarika;tartó;ajtó;visz;együtt;zár
255l;Edinburgh;Skócia;főváros;kastély;fesztivál;tetoválás
255p;jégkorong;bot;sisak;NHL;gól;korcsolya
255k;réz;pénz;fém;drót;elektromosság;bőr
255s;jégeső;vihar;kemény;kár;törik;időjárás
256l;Bollywood;film;India;tánc;zene;mozi
256p;triatlon;úszás;kerékpározás;futás;sport;fitt
256k;Hamlet;dán;királyfi;dráma;színház;Shakespeare
256s;eke;föld;vas;szánt;traktor;húz
257l;sakk;tábla;király;bástya;gyalog;lép
257p;nővér;orvos;kórház;beteg;ápol;segít
257k;fülhallgató;zene;lejátszó;fej;telefon;hang
257s;rubin;vörös;kő;ásvány;bor;ékszer
258l;dáma;hölgy;úr;játék;kártya;elegáns
258p;rosszal;morog;dühös;helytelenít;fej;csóvál
258k;Usain Bolt;Jamaica;Olimpia;sprint;100;leggyorsabb
258s;törlőrongy;mos;por;takarít;szappan;ruha
259l;aranyhal;akvárium;állat;úszik;kívánság;teljesít
259p;nagypapa;öreg;idős;apa;unoka;család
259k;olló;szabó;nyír;fodrász;vág;köröm
259s;tavasz;nyár;évszak;kikelet;március;tulipán
260l;óra;idő;számok;60;perc;24
260p;tornác;veranda;terasz;ház;ajtó;épület
260k;tésztaszűrő;csepegtet;lyuk;tál;szita;víz
260s;pirula;tabletta;gyógyszer;kapszula;lenyel;bevesz
